Drug1_name,Drug1_CID,Drug2_name,Drug2_CID,HSA,Bliss,Loewe,ZIP,Source_DB,DB_ID
Pemetrexed,135410875,teniposide,452548,-18.68,-20.25,-22.02,-13.2,DrugcombPortal,370682
122111-05-1,46781465,Fulvestrant,104741,-1.03,-0.11,-50.12,5.74,DrugcombPortal,220397
Vincristine sulfate,249332,NSC733504,6442177,4.72,4.28,5.01,0.65,DrugcombPortal,195688
SORAFENIB,216239,PRALATREXATE,148121,0.71,3.7,0.71,1.7,DrugcombDB,196130
ANASTROZOLE,2187,THALIDOMIDE,5426,-5.08,1.17,-4.99,3.21,DrugcombDB,192136
MEGESTROL ACETATE,11683,TRETINOIN,444795,-8.02,-3.15,-7.31,3.7,DrugcombDB,349766
Melphalan hydrochloride,9927978,Romidepsin,5352062,5.16,8.25,-33.75,9.52,DrugcombPortal,316725
Fludarabine Base,3367,thalidomide,5426,-1.85,-0.97,-0.52,4.95,DrugcombPortal,171889
23541-50-6,62770,Sunitinib,5329102,2.36,3.79,-9.89,2.95,DrugcombPortal,355035
L-778123 free base,216454,Lapatinib,208908,1.33,-4.54,-2.01,-5.39,DrugcombPortal,23921
MELPHALAN HYDROCHLORIDE,9927978,IFOSFAMIDE,3690,-3.09,-0.14,-16.33,0.67,DrugcombDB,345458
cytarabine,6253,Ramelteon,208902,5.1,4.75,5.1,4.75,DrugcombPortal,126246
METFORMIN,4091,AZD1775,24856436,1.23,-0.9,-20.86,0.1,DrugcombDB,44430
MITOXANTRONE,4212,PLICAMYCIN,163659,15.68,13.97,7.5,10.97,DrugcombDB,362371
Fingolimod,107970,BMS-536924,135440466,-10.57,-2.58,9.31,7.02,DrugcombPortal,1269591
DAUNORUBICIN HYDROCHLORIDE,62770,DASATINIB,3062316,9.43,6.86,7.54,2.41,DrugcombDB,134469
gemcitabine,60750,915019-65-7,11977753,10.4,6.0,3.89,7.02,DrugcombPortal,69664
etoposide,36462,Selumetinib,10127622,-18.13,-19.99,-20.22,-3.45,DrugcombPortal,1438353
METYROSINE,441350,Succinylcholine chloride,22475,13.4,0.01,13.39,0.01,DrugcombPortal,115352
5-Aminosalicylic acid,4075,Armodafinil,9690109,-0.69,-14.62,-0.69,-14.62,DrugcombPortal,107949
EXEMESTANE,60198,NILOTINIB,644241,0.61,3.58,0.99,3.17,DrugcombDB,390982
Fulvestrant,104741,pipobroman,4842,-7.71,-9.18,-9.72,-11.77,DrugcombPortal,152270
Ifosfamide,3690,Etoposide,36462,-0.63,-0.92,-0.64,10.48,SYNERGx,140596
Fingolimod,107970,Sorafenib,216239,15.67,24.45,12.75,21.33,DrugcombPortal,1271681
Ruxolitinib,25126798,Dasatinib,3062316,20.16,21.22,20.18,14.38,DrugcombPortal,362540
THIOGUANINE,2723601,ELOXATIN (TN) (SANOFI SYNTHELAB),24197464,-3.29,-5.16,-7.63,-9.78,DrugcombDB,343112
CYTARABINE HYDROCHLORIDE,6252,pipobroman,4842,-0.29,7.78,-3.12,-2.52,DrugcombPortal,246982
MK-4541,59691338,Sorafenib,216239,4.97,5.42,-0.43,2.98,DrugcombPortal,19905
Crizotinib,11626560,Antibiotic AD 32,41744,-1.81,-2.58,-1.26,-2.26,DrugcombPortal,330985
Imatinib,5291,mitotane,4211,-1.02,-0.5,-1.0,-0.02,DrugcombPortal,282558
5-FU,3385,CARBOPLATIN,426756,-7.23,-10.13,-8.69,-5.74,DrugcombDB,353531
MK-4827,24958200,TOPOTECAN,60700,3.19,-3.79,-0.56,-0.87,DrugcombDB,1514
Deforolimus,11520894,Sorafenib,216239,12.77,5.48,10.4,5.22,DrugcombPortal,3918
Dovitinib,135398510,Cardamonin,641785,-8.1,-5.86,-1.91,2.46,DrugcombPortal,1251802
MK-1775,24856436,MK-2206,24964624,4.24,-1.4,1.76,-2.1,DrugcombPortal,34611
841290-80-0,11213558,SNS-314,24995524,-4.39,5.76,-1.51,5.52,DrugcombPortal,1375942
Vincristine sulfate,249332,Carboplatinum,38904,1.09,-3.7,-0.06,-6.32,DrugcombPortal,160221
Fingolimod,107970,OSU-03012,10027278,18.17,38.29,-5.79,33.05,DrugcombPortal,1271284
Niraparib,24958200,Deforolimus,11520894,16.58,10.38,12.38,10.53,DrugcombPortal,29191
BI-78D3,2747117,Selumetinib,10127622,24.15,216.6,-21.73,94.67,DrugcombPortal,1218804
paclitaxel,36314,cyclophosphamide,2907,-4.61,-3.63,-74.85,-2.06,DrugcombPortal,219933
MRK003,15953832,Dinaciclib,46926350,-0.44,-0.32,-35.64,0.21,DrugcombPortal,1652
Vatalanib,151194,GSK 650394,25022668,-24.16,-22.43,13.65,-9.25,DrugcombPortal,1392307
MITOTANE,4211,PIPOBROMAN,4842,0.03,-0.68,-1.98,-3.75,DrugcombDB,200384
DEXRAZOXANE,71384,CHEMBL277800,354624,1.74,0.54,-23.64,-6.36,DrugcombDB,368763
BI-78D3,2747117,"001, RAD",6442177,5.6,89.59,-6.07,35.19,DrugcombPortal,1217148
lomustine,3950,"Azacytidine, 5-",1805,-1.68,0.36,-5.48,-1.63,DrugcombPortal,386933
Sunitinib,5329102,Tipifarnib,159324,8.7,58.19,-11.73,28.67,DrugcombPortal,1373348
ALLOPURINOL,135401907,METHOXSALEN,4114,-4.0,-0.44,-3.39,1.58,DrugcombDB,232598
Ruxolitinib,25126798,Vorinostat,5311,1.16,1.87,-1.62,-3.03,DrugcombPortal,412767
Nutlin-3,216345,BI-D1870,25023738,5.36,11.35,3.57,-9.21,DrugcombPortal,1318690
CYTARABINE HYDROCHLORIDE,6252,NSC-127716,451668,9.67,8.03,5.03,7.07,DrugcombPortal,140520
cyclophosphamide,2907,Sorafenib,216239,8.31,11.02,-8.29,9.82,DrugcombPortal,25765
Sunitinib,5329102,MK-2206,24964624,7.78,3.12,-8.15,1.93,DrugcombPortal,92198
Melphalan hydrochloride,9927978,Erlotinib hydrochloride,176871,10.43,11.24,10.08,4.2,DrugcombPortal,383086
temozolomide,5394,NSC256439,42890,2.03,-3.18,-4.07,-3.99,DrugcombPortal,440443
DASATINIB,3062316,ADM HYDROCHLORIDE,32874,3.81,0.77,1.04,1.11,DrugcombDB,140879
thiotepa,5453,oseltamivir,65028,-7.58,-21.01,-7.59,-21.01,DrugcombPortal,100917
Crizotinib,11626560,NSC-127716,451668,1.0,-0.38,0.89,-4.79,DrugcombPortal,333874
temozolomide,5394,GSK0660,46233311,1.29,69.33,-5.31,17.61,DrugcombPortal,1379896
ifosfamide,3690,Co-V,439693,-2.91,-2.8,-7.27,-0.39,DrugcombPortal,214768
TCS JNK 5a,766949,BI-D1870,25023738,-24.88,-35.44,-16.57,-16.7,DrugcombPortal,1295013
CYCLOPHOSPHAMIDE,2907,MK-8776,16224745,-4.63,-5.1,-17.94,-3.54,DrugcombDB,21195
NSC141540,36462,ADM HYDROCHLORIDE,32874,-1.36,-12.33,-2.97,-11.08,DrugcombDB,433954
Sunitinib,5329102,Veliparib,11960529,-8.59,-10.4,-2.86,-4.48,DrugcombPortal,1373477
L-778123 free base,216454,391210-10-9,9826528,-0.25,0.59,-0.59,-3.8,DrugcombPortal,85890
CO-V,439693,EMCYT (PHARMACIA),54611422,-3.11,7.34,-2.47,8.34,DrugcombDB,144359
raloxifene,5035,Pemetrexed,135410875,3.22,3.0,0.77,-1.05,DrugcombPortal,224803
THIABENDAZOLE,5430,ZOLINZA,5311,3.76,2.23,3.69,2.23,DrugcombDB,121299
TAMOXIFEN CITRATE,2733525,ANTIBIOTIC AD 32,41744,6.15,3.37,-10.39,4.65,DrugcombDB,201838
METHOTREXATE,126941,THIOTEPA,5453,-4.64,-6.27,-8.27,-2.75,DrugcombDB,236718
BIIB021,16736529,315183-21-2,135421197,1.13,13.11,-0.61,10.87,DrugcombPortal,452400
Amodiaquin dihydrochloride dihydrate,64646,Artenimol,3000518,-0.93,0.24,-5.3,0.14,DrugcombPortal,1463737
BLEOMYCIN,5360373,MITOMYCINE,5746,1.51,-2.55,0.79,-5.92,DrugcombDB,141032
Ruxolitinib,25126798,GSK2334470,46215815,-2.38,-1.25,-5.37,-6.26,DrugcombPortal,1180200
DOXORUBICIN,31703,TEMOZOLOMIDE,5394,1.74,1.48,-30.59,1.65,DrugcombDB,89971
ETOPOSIDE,36462,PD325901,9826528,1.19,-6.14,-1.79,-4.51,DrugcombDB,67275
FASN BI,57519535,ibrutinib,24821094,0.364,2.099,-35.083,2.452,DrugcombDB,466547
Sorafenib,216239,PF-04217903,17754438,4.09,19.66,-11.38,17.43,DrugcombPortal,1363683
vinorelbine,5311497,Veliparib,11960529,2.56,1.51,-18.91,-0.25,DrugcombPortal,43321
122111-05-1,46781465,NSC256439,42890,3.52,-0.97,1.26,-6.9,DrugcombPortal,435841
FLUDARABINE BASE,3367,MECHLORETHAMINE HYDROCHLORIDE,5935,3.7,1.41,-1.65,0.26,DrugcombDB,150447
THIOTEPA,5453,ADM HYDROCHLORIDE,32874,-2.99,-1.58,-8.65,-5.64,DrugcombDB,222154
CELECOXIB,2662,IMATINIB,5291,-1.56,-1.26,-0.63,-0.4,DrugcombDB,143306
ABIRATERONE,132971,5-FU,3385,0.74,0.06,-0.1,4.01,DrugcombDB,429961
ZOLEDRONIC ACID,68740,BENDAMUSTINE HYDROCHLORIDE,77082,-3.13,-2.96,-2.74,-0.77,DrugcombDB,222300
docetaxel,148124,busulfan,2478,-7.13,-8.92,-74.28,-5.88,DrugcombPortal,275464
altretamine,2123,Nilotinib,644241,-0.36,3.26,1.54,2.54,DrugcombPortal,378456
Erlotinib,176870,SNS-032,3025986,-23.18,-34.73,9.97,-9.61,DrugcombPortal,1260033
PACLITAXEL,36314,DINACICLIB,46926350,3.38,4.44,-1.45,3.42,DrugcombDB,70670
Lenalidomide,216326,112648-68-7,104794,6.31,18.95,3.93,10.0,DrugcombPortal,1302772
Y-39983 dihydrochloride 2/3 H2O,73013358,Stibogluconate,16683013,6.36,21.5,5.57,20.31,DrugcombPortal,1430570
CYTARABINE HYDROCHLORIDE,6252,bleomycin,5360373,3.54,-3.25,1.79,-4.57,DrugcombPortal,197734
genz-669178,53494972,Docetaxolum,148124,2.23,7.63,-2.63,7.14,DrugcombPortal,1452866
DEXAMETHASONE,5743,AZD1775,24856436,-0.31,2.59,-58.73,4.66,DrugcombDB,74003
Crizotinib,11626560,Melphalan hydrochloride,9927978,0.1,2.91,-1.83,-0.86,DrugcombPortal,423287
ADM hydrochloride,32874,pipobroman,4842,1.14,-0.08,1.04,-4.63,DrugcombPortal,250326
SULBACTAM,130313,ILOPROST,5311181,-12.08,-26.76,-12.08,-26.76,DrugcombPortal,93869
bleomycin,5360373,Pralatrexate,148121,0.71,0.08,0.73,-6.26,DrugcombPortal,178852
MK-4827,24958200,GELDANAMYCIN,5288382,11.06,10.85,11.33,6.42,DrugcombDB,86459
ETOPOSIDE,36462,MK-2206,24964624,8.98,6.04,6.78,-5.61,DrugcombDB,83352
BUSULFAN,2478,THALIDOMIDE,5426,8.37,4.72,5.42,5.13,DrugcombDB,144671
mitoxantrone,4212,6-Thioguanine,2723601,-1.44,-5.38,-7.23,-12.84,DrugcombPortal,270964
PAZOPANIB HYDROCHLORIDE,11525740,TOPOTECAN HYDROCHLORIDE,60699,-3.97,-1.42,-93.78,-4.23,DrugcombDB,333946
CHEMBL17639,1546,MITOTANE,4211,-3.42,-0.41,-19.41,-2.48,DrugcombDB,154847
CARMUSTINE,2578,NSC256439,42890,-1.01,-6.9,-3.94,-8.52,DrugcombDB,440862
7-Ethyl-10-hydroxycamptothecin,104842,NSC256439,42890,-6.33,-13.94,-8.34,-10.8,DrugcombPortal,435794
BORTEZOMIB,387447,GELDANAMYCIN,5288382,-0.94,-1.41,-4.9,1.23,DrugcombDB,52858
VX-702,10341154,temozolomide,5394,14.78,129.78,-7.26,57.87,DrugcombPortal,1407575
cyclophosphamide,2907,Niraparib,24958200,4.66,8.08,-16.76,8.18,DrugcombPortal,377
Vemurafenib,42611257,lomustine,3950,6.82,2.14,4.02,3.27,DrugcombPortal,382591
chlorambucil,2708,thiotepa,5453,0.1,-3.78,-6.8,-6.42,DrugcombPortal,388716
Sunitinib,5329102,mitomycin C,5746,0.0,-2.2,-0.5,-4.85,DrugcombPortal,239456
BENDAMUSTINE HYDROCHLORIDE,77082,MECHLORETHAMINE HYDROCHLORIDE,5935,-0.27,0.05,-4.78,-4.72,DrugcombDB,248585
Nutlin-3,216345,XL147,1893730,-8.52,-25.54,-9.29,-16.18,DrugcombPortal,1321713
VINBLASTINE,13342,L778123,216453,-10.0,-14.06,-12.95,-8.13,DrugcombDB,90456
lomustine,3950,Vorinostat,5311,12.72,11.54,12.67,4.87,DrugcombPortal,404055
Dasatinib,3062316,QS11,42623900,-21.26,-26.14,15.95,-9.05,DrugcombPortal,1242625
LENALIDOMIDE,216326,EXEMESTANE,60198,-13.15,-14.29,-14.42,-3.86,DrugcombDB,398311
Dasatinib,3062316,IPA-3,521106,-10.13,-9.97,-12.02,-9.03,DrugcombPortal,1241970
MK-4827,24958200,ABT-888,45480520,10.29,12.22,7.75,4.61,DrugcombDB,77204
Nilotinib,644241,Procarbazine hydrochloride,9703,-7.69,-0.22,-7.27,4.08,DrugcombPortal,179027
VISMODEGIB,24776445,PRALATREXATE,148121,-10.72,-8.55,-37.34,-6.49,DrugcombDB,379287
EXEMESTANE,60198,Ixabepilone,6445540,2.77,2.47,1.55,1.37,DrugcombPortal,300111
Lapatinib,208908,55-86-7,5935,2.1,0.64,0.17,-4.44,DrugcombPortal,178245
Tacrine,1935,thalidomide,5426,-7.82,-22.83,-7.82,-22.83,DrugcombPortal,100154
dacarbazine,135398738,bleomycin,5360373,-4.21,-3.08,-5.1,-1.52,DrugcombPortal,206795
MK-5108,24748204,OXALIPLATIN,9887053,2.77,-2.49,1.94,-10.88,DrugcombDB,24597
6-Thioguanine,2723601,celecoxib,2662,-1.42,-0.76,-4.43,-4.29,DrugcombPortal,308557
CHEMBL3348822,73265233,BMS-754807,24785538,7.96,8.31,7.36,8.13,DrugcombPortal,462361
Pralatrexate,148121,55-86-7,5935,-0.97,1.32,0.86,-2.86,DrugcombPortal,205633
CABAZITAXEL,9854073,Antibiotic AD 32,41744,-1.62,-2.03,-1.18,-2.28,DrugcombPortal,330738
Arbidol,131411,Lopinavir,92727,-0.51,-5.47,-4.38,-6.36,DrugcombPortal,1468613
Lapatinib,208908,Trisenox,14888,-1.64,-0.61,-17.9,1.05,DrugcombPortal,166010
nilutamide,4493,su6656,5312137,-18.44,19.13,-18.44,10.53,DrugcombPortal,1318172
Ruxolitinib,25126798,Nilotinib,644241,-8.47,-0.31,-4.61,5.95,DrugcombPortal,393139
methotrexate,126941,Dinaciclib,46926350,4.54,1.07,0.18,1.23,DrugcombPortal,1114
ABIRATERONE,132971,CABAZITAXEL,9854073,8.79,7.18,-0.64,6.75,DrugcombDB,389135
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE,400633,CYCLOPHOSPHAMIDE,2907,-5.01,-1.29,-5.01,1.34,DrugcombDB,249908
Daporinad,6914657,844499-71-4,54708532,-28.04,7.38,29.45,42.67,DrugcombPortal,1272470
SUNITINIB,5329102,METHOXSALEN,4114,-1.37,-0.51,-1.27,-0.37,DrugcombDB,292788
ALTRETAMINE,2123,FULVESTRANT,104741,-3.42,-0.16,-6.32,-0.03,DrugcombDB,362930
OTX-008,11953346,Marizomib / Salinosporamide A,11347535,2.916,-2.484,-1.962,-1.618,DrugcombDB,494656
ABIRATERONE,132971,NSC733504,6442177,4.16,1.16,1.82,-3.31,DrugcombDB,423652
CEVIMELINE,83898,AMODIAQUINE,2165,-5.28,-20.11,-5.28,-20.11,DrugcombDB,104184
MITOXANTRONE,4212,MECHLORETHAMINE HYDROCHLORIDE,5935,2.14,-0.7,-8.91,-3.11,DrugcombDB,418851
ANTIBIOTIC AY 22989,5284616,IMIQUIMOD,57469,-0.3,2.87,-6.53,2.39,DrugcombDB,216819
dacarbazine,135398738,Romidepsin,5352062,-3.26,-2.84,-73.39,2.26,DrugcombPortal,315735
VINBLASTINE SULFATE,241902,ELOXATIN (TN) (SANOFI SYNTHELAB),24197464,-1.54,-6.36,-1.95,-9.61,DrugcombDB,171884
Selumetinib,10127622,FH535,3463933,-22.73,25.14,-23.36,20.55,DrugcombPortal,1356602
Vemurafenib,42611257,NSC733504,6442177,-0.84,1.02,-16.92,-1.04,DrugcombPortal,423829
AZD1480,16659841,Crizotinib,11626560,0.74,-1.08,-2.35,-6.87,DrugcombPortal,1199555
BENDAMUSTINE HYDROCHLORIDE,77082,IXABEPILONE,6445540,-2.67,-3.12,-29.67,-1.4,DrugcombDB,136047
METHOTREXATE,126941,MK-4827,24958200,1.18,1.01,-4.51,2.3,DrugcombDB,26505
Crizotinib,11626560,JZL184,25021165,-37.4,-48.91,-33.58,-23.15,DrugcombPortal,1234833
MK-5108,24748204,Veliparib,11960529,10.77,13.15,0.03,7.26,DrugcombPortal,70397
