cas_number,Drug_name,table_link,db_id,indication
76-43-7,Fluoxymesterone,2253X1643,DB01185,"In males, used as replacement therapy in conditions associated with symptoms of deficiency or absence of endogenous testosterone. In females, for palliation of androgenresponsive recurrent mammary cancer in women who are more than one year but less than five years postmenopausal."
185562-00-9,"2,5-Dimethoxy-4-ethylthioamphetamine",2253X1952,,
7648-98-8,Ambenonium,2254X1641,DB01122,Ambenonium is used to treat muscle weakness due to muscle disease (myasthenia gravis).
317318-70-0,GW-501516,2255X1764,DB05416,Investigated for use/treatment in hyperlipidemia.
113-18-8,Ethchlorvynol,2256X1612,DB00189,"Used for short-term hypnotic therapy in the management of insomnia for periods of up to one week in duration; however, this medication generally has been replaced by other sedative-hypnotic agents."
145375-43-5,Mitiglinide,2256X1645,,For the treatment of type 2 diabetes.
66575-29-9,Colforsin,2256X1683,DB02587,
531-95-3,Equol,2257X1900,,
61337-87-9,Esmirtazapine,2259X1786,,Investigated for use/treatment in insomnia and sleep disorders.
114798-26-4,Losartan,2260X1627,DB00678,"May be used as a first line agent to treat uncomplicated hypertension, isolated systolic hypertension and left ventricular hypertrophy. May be used as a first line agent to delay progression of diabetic nephropathy. Losartan may be also used as a second line agent in the treatment of congestive heart failure, systolic dysfunction, myocardial infarction and coronary artery disease in those intolerant of ACE inhibitors."
59939-16-1,Cirazoline,2260X1861,,
54965-21-8,Albendazole,2261X1622,DB00518,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, <i>Taenia solium</i> and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, <i>Echinococcus granulosus</i>."
860174-12-5,Naronapride,2262X1765,,Investigated for use/treatment in gastroesophageal reflux disease (GERD) and gastroparesis.
61-19-8,Adenosine monophosphate,2263X1608,DB00131,"For nutritional supplementation, also for treating dietary shortage or imbalance"
54143-55-4,Flecainide,2263X1641,DB01195,"Flecainide is is a class Ic antiarrhythmic agent and as such, it is used for the prevention of paroxysmal supraventricular tachycardias (PSVT), including atrioventricular nodal reentrant tachycardia, atrioventricular reentrant tachycardia and other supraventricular tachycardias of unspecified mechanism associated with disablin."
77-41-8,Methsuximide,2263X1758,,For the control of absence (petit mal) seizures that are refractory to other drugs.
463-40-1,Alpha-Linolenic Acid,2264X1608,DB00132,For nutritional supplementation and for treating dietary shortage or imbalance.
66778-36-7,Encainide,2264X1642,DB01228,"Encainide is a class Ic antiarrhythmic agent which was used for management of irregular heartbeats, such as atrial fibrillation, atrial flutter, ventricular tachycardia, and ventricular fibrillation."
34391-04-3,Levosalbutamol,2264X1942,DB13139,"Levosalbutamol's bronchodilator properties give it indications in treatment of COPD (chronic obstructive pulmonary disease, also known as chronic obstructive lung disease) and asthma."
154361-50-9,Capecitabine,2265X1638,DB01101,"For the treatment of patients with metastatic breast cancer resistant to both paclitaxel and an anthracycline-containing chemotherapy regimen. May also be used in combination with docetaxel for the treatment of metastatic breast cancer in patients who have failed to respond to, or recurred or relasped during or following anthracycline-containing chemotherapy. Capecitabine is used alone as an adjuvant therapy following the complete resection of primary tumor in patients with stage III colon cancer when monotherapy with fluroprymidine is preferred. The use or capecitabine in combination regimens for advanced gastric cancer is currently being investigated."
36505-84-7,Buspirone,1867X1623,DB00490,"For the management of anxiety disorders or the short-term relief of the symptoms of anxiety, and also as an augmention of SSRI-treatment against depression."
434-07-1,Oxymetholone,1867X1783,,"Indicated in the treatment of anemias caused by deficient red cell production. Acquired aplastic anemia, congenital aplastic anemia, myelofibrosis and the hypoplastic anemias due to the administration of myelotoxic drugs often respond. Oxymetholone should not replace other supportive measures such as transfusion, correction of iron, folic acid, vitamin B12 or pyridoxine deficiency, antibacterial therapy and the appropriate use of corticosteroids."
55079-83-9,Acitretin,1868X1622,DB00459,For the treatment of severe psoriasis in adults.
66-76-2,Dicoumarol,1869X1616,DB00266,For decreasing blood clotting. Often used along with heparin for treatment of deep vein thrombosis.
41294-56-8,Alfacalcidol,1870X1651,,"Alfacalcidol is an active metabolite of Vitamin D, which performs important functions in regulation of the calcium balance and the bone metabolism."
252920-94-8,Solabegron,1870X1779,,"Investigated for use/treatment in diabetes mellitus type 2, irritable bowel syndrome (IBS), and urinary incontinence."
130929-57-6,Entacapone,1871X1623,DB00494,"Used as an adjunct to levodopa / carbidopa in the symptomatic treatment of patients with idiopathic Parkinson's Disease who experience the signs and symptoms of end-of-dose ""wearing-off""."
7439-93-2,Lithium,1872X1649,,"Lithium is used as a mood stabilizer, and is used for treatment of depression and mania. It is often used in bipolar disorder treatment."
797-63-7,Levonorgestrel,1873X1619,DB00367,For the treatment of menopausal and postmenopausal disorders and alone or in combination with other hormones as an oral contraceptive.
1668-19-5,Doxepin,1874X1643,DB01142,"**Oral: **  - Indicated for the treatment of depression and/or anxiety [FDA Label].   - Indicated for the treatment of depression and/or anxiety associated with different conditions, including alcoholism, organic disease and manic-depressive disorders [FDA Label].  - Indicated for the treatment of insomnia characterized by difficulties with sleep maintenance [L1347].    Topical:   - Indicated for the short-term (up to 8 days) management of moderate pruritus in adult patients with atopic dermatitis or lichen simplex chronicus [L1344]."
86050-77-3,Gadopentetate dimeglumine,1875X1632,DB00789,"For use with magnetic resonance imaging (MRI) in adults, and pediatric patients (2 years of age and older) to visualize lesions with abnormal vascularity in the brain (intracranial lesions), spine and associated tissues as well as lesions with abnormal vascularity in the head and neck. Also used to facilitate the visualization of lesions with abnormal vascularity in the body (excluding the heart)."
860005-21-6,Latanoprostene Bunod,1875X1901,,Latanoprostene bunod opthalmic solution is indicated for the reduction of intraocular pressure in patients with open-angle glaucoma or ocular hypertension [FDA Label].
82834-16-0,Perindopril,1876X1632,DB00790,"For the treatment of mild to moderate essential hypertension, mild to moderate congestive heart failure, and to reduce the cardiovascular risk of individuals with hypertension or post-myocardial infarction and stable coronary disease."
330784-47-9,Avanafil,1876X1780,,Treatment of erectile dysfunction in males.
57-53-4,Meprobamate,1877X1619,DB00371,For the management of anxiety disorders or for the short-term relief of the symptoms of anxiety.
4969-02-2,Metixene,1878X1617,DB00340,Used for the symptomatic treatment of parkinsonism.
14357-78-9,Diprenorphine,1878X1653,,Diprenorphine is used to reverse the effects of the super-potent opioid analgesics such as etorphine and carfentanil that are used for tranquilizing large animals in veterinary medicine. Not used in humans.
518-28-5,Podofilox,1879X1643,DB01179,For treatment of external genital warts (<i>Condyloma acuminatum</i>).
15301-69-6,Flavoxate,1880X1642,DB01148,"For symptomatic relief of dysuria, urgency, nocturia, suprapubic pain, frequency and incontinence as may occur in cystitis, prostatitis, urethritis, urethrocystitis/urethrotrigonitis."
26833-87-4,Omacetaxine mepesuccinate,1880X1750,,Used in patients who are intolerant and/or resistant to two or more tyrosine kinase inhibitors used to treat accelerated or chronic phase CML.
59729-33-8,Citalopram,2250X1613,DB00215,"For the treatment of depression. Off-label indications include: treatment of mild dementia-associated agitation in nonpsychotic patients, smoking cessation, ethanol abuse, obsessive-compulsive disorder (OCD) in children, and diabetic neuropathy [FDA label]."
84-96-8,Alimemazine,2250X1645,DB01246,Used to prevent and relieve allergic conditions which cause pruritus (itching) and urticaria (some allergic skin reactions).
50-47-5,Desipramine,2251X1642,DB01151,"For relief of symptoms in various depressive syndromes, especially endogenous depression. It has also been used to manage chronic peripheral neuropathic pain, as a second line agent for the management of anxiety disorders (e.g. panic disorder, generalized anxiety disorder), and as a second or third line agent in the ADHD management."
81801-12-9,Xamoterol,2251X1949,,
50-14-6,Ergocalciferol,2253X1611,DB00153,"For use in the management of hypocalcemia and its clinical manifestations in patients with hypoparathyroidism, as well as for the treatment of familial hypophosphatemia (vitamin D resistant rickets). This drug has also been used in the treatment of nutritional rickets or osteomalacia, vitamin D dependent rickets, rickets or osteomalacia secondary to long-term high dose anticonvulsant therapy, early renal osteodystrophy, osteoporosis (in conjunction with calcium), and hypophosphatemia associated with Fanconi syndrome (with treatment of acidosis)."
120511-73-1,Anastrozole,2253X1644,DB01217,"For adjuvant treatment of hormone receptor positive breast cancer , as well as hormonal treatment of advanced breast cancer in post-menopausal women. Has also been used to treat pubertal gynecomastia and McCune-Albright syndrome; however, manufacturer states that efficacy for these indications have not been established."
402957-28-2,Telaprevir,2253X1767,,"Telaprevir, when used in combination with [DB00811], [DB00008], and [DB00022] is indicated for use in the treatment of chronic HCV genotype 1 infection in adults [FDA Label]."
,Interferon alfa-n3,2254X1607,DB00018,For the intralesional treatment of refractory or recurring external condylomata acuminata.
77-27-0,Thiamylal,2254X1642,DB01154,"Used for the production of complete anaesthesia of short duration, for the induction of general anaesthesia, and for inducing a hypnotic state."
7261-97-4,Dantrolene,2255X1644,DB01219,"For use, along with appropriate supportive measures, for the management of the fulminant hypermetabolism of skeletal muscle characteristic of malignant hyperthermia crises in patients of all ages. Also used preoperatively, and sometimes postoperatively, to prevent or attenuate the development of clinical and laboratory signs of malignant hyperthermia in individuals judged to be malignant hyperthermia susceptible."
79490-84-9,Isoetarine,2256X1613,DB00221,"For the treatment of asthma, wheezing, and chronic asthmatic bronchitis."
12427-33-7,Corticotropin,2256X1646,DB01285,For use as a diagnostic agent in the screening of patients presumed to have adrenocortical insufficiency.
315-37-7,Testosterone enanthate,2256X1952,DB13944,"Testosterone enanthate in males is indicated as a replacement therapy in conditions associated with a deficiency or absence of endogenous testosterone. Some of the treated conditions are 1) primary hypogonadism, defined as testicular failure due to cryptorchidism, bilateral torsion, orchitis, vanishing testis syndrome or orchidectomy; 2) hypogonadotropic hypogonadism due to an idiopathic gonadotropin or luteinizing hormone-releasing hormone deficiency or due to a pituitary-hypothalamic injury from tumors, trauma or radiation, in this case it is important to accompany the treatment with adrenal cortical and thyroid hormone replacement therapy; 3) to stimulate puberty in patients with delayed puberty not secondary to a pathological disorder. If the conditions 1 and 2 occur prior to puberty, the androgen replacement therapy will be needed during adolescent years for the development of secondary sexual characteristics and prolonged androgen treatment might be needed it to maintain sexual characteristics after puberty.[FDA label]    In females, testosterone enanthate is indicated to be used secondarily in presence of advanced inoperable metastatic mammary cancer in women who are from one to five years postmenopausal. It has also been used in premenopausal women with breast cancer who have benefited from oophorectomy and are considered to have a hormone-responsive tumor.[FDA label]"
117-37-3,Anisindione,2257X1641,DB01125,"For the prophylaxis and treatment of venous thrombosis and its extension, the treatment of atrial fibrillation with embolization, the prophylaxis and treatment of pulmonary embolism, and as an adjunct in the treatment of coronary occlusion."
81525-10-2,Nafamostat,2257X1928,,"Used as an anticoagulant in patients with disseminative blood vessel coagulation, hemorrhagic lesions, and hemorrhagic tendencies. It prevents blood clot formation during extracorporeal circulation in patients undergoing continuous renal replacement therapy and extra corporeal membrane oxygenation."
66711-21-5,Apraclonidine,2258X1636,DB00964,For prevention or reduction of intraoperative and postoperative increases in intraocular pressure (IOP) before and after ocular laser surgery when used prophylactically. Also used as a short-term adjunctive therapy in patients with open-angle glaucoma who are on maximally tolerated medical therapy requiring additional IOP reduction.
50-23-7,Hydrocortisone,2259X1629,DB00741,"For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses. Also used to treat endocrine (hormonal) disorders (adrenal insufficiency, Addisons disease). It is also used to treat many immune and allergic disorders, such as arthritis, lupus, severe psoriasis, severe asthma, ulcerative colitis, and Crohn's disease."
75530-68-6,Nilvadipine,2259X1787,,"For the management of vasospastic angina, chronic stable angina and hypertension."
320367-13-3,Lixisenatide,2259X1863,,For use as an antihyperglycemic agent in the treatment of T2DM [FDA Label].
114084-78-5,Ibandronate,2260X1628,DB00710,For the treatment and prevention of osteoporosis in postmenopausal women.
51-52-5,Propylthiouracil,2261X1623,DB00550,Used to manage hyperthyroidism which is due to an overactive thyroid gland (Grave's disease).
22232-54-8,Carbimazole,2262X1616,DB00389,For the treatment of hyperthyroidism and thyrotoxicosis. It is also used to prepare patients for thyroidectomy.
1477-40-3,Levomethadyl Acetate,2263X1642,DB01227,For the treatment and management of opiate dependence. It is sometimes used to treat severe pain in terminal patients.
486460-32-6,Sitagliptin,2264X1643,DB01261,"For use as an adjunct to diet and exercise to improve glycemic control in patients with type 2 diabetes mellitus. Also for use in patients with type 2 diabetes mellitus to improve glycemic control in combination with metformin or a PPARγ agonist (e.g., thiazolidinediones) when the single agent alone, with diet and exercise, does not provide adequate glycemic control."
89987-06-4,Tiludronic acid,2265X1639,DB01133,For treatment of Paget's disease of bone (osteitis deformans).
69049-73-6,Nedocromil,1866X1630,DB00716,For the treatment of mild to moderate asthma
6004-98-4,Hexocyclium,1866X1791,,"The World Health Organization classifies hexocyclium as a drug for functional gastrointestinal disorders [L876]. Like other anti-muscarinic agents, hexocyclium was likely used to treat peptic ulcers or diarrhea."
72432-03-2,Miglitol,1868X1623,DB00491,For use as an adjunct to diet to improve glycemic control in patients with non-insulin-dependent diabetes mellitus (NIDDM) whose hyperglycemia cannot be managed with diet alone.
72822-12-9,Dapiprazole,1869X1617,DB00298,Used in the treatment of iatrogenically induced mydriasis produced by adrenergic (phenylephrine) or parasympatholytic (tropicamide) agents used in certain eye examinations.
60205-81-4,Ipratropium,1870X1618,DB00332,"For maintenance treatment of bronchospasm associated with chronic obstructive pulmonary disease, including chronic bronchitis and emphysema."
55096-26-9,Nalmefene,1870X1780,,"Indicated for the reduction of alcohol consumption in adult patients with alcohol dependence who have a high drinking risk level (DRL), without physical withdrawal symptoms and who do not require immediate detoxification [L1024].    Indicated for the complete or partial reversal of opioid drug effects, including respiratory depression - induced by either natural or synthetic opioids - or in the management of known or suspected opioid overdose [FDA Label]."
100427-26-7,Lercanidipine,1871X1624,DB00528,"For the treatment of Hypertension, management of angina pectoris and Raynaud's syndrome"
156053-89-3,Alvimopan,1871X1781,,Used to accelerate the time to upper and lower gastrointestinal recovery following partial large or small bowel resection surgery with primary anastomosis. Also investigated for use in the treatment of pain (acute or chronic).
132539-06-1,Olanzapine,1872X1618,DB00334,"For the acute and maintenance treatment of schizophrenia and related psychotic disorders, as well as acute treatment of manic or mixed episodes of bipolar 1 disorder. Intramuscular olanzapine is indicated for the rapid control of agitated patients."
50-06-6,Phenobarbital,1874X1644,DB01174,For the treatment of all types of seizures except absence seizures.
53716-49-7,Carprofen,1875X1633,DB00821,For use as a pain reliever in the treatment of joint pain and post-surgical pain.
637334-45-3,Ocrelizumab,1875X1911,,Indicated for the treatment of adult patients with relapsing or primary progressive forms of multiple sclerosis [FDA Label].
97-77-8,Disulfiram,1876X1633,DB00822,For the treatment and management of chronic alcoholism
111902-57-9,Temocapril,1876X1852,,"Temocapril is an ACE inhibitor primarily indicated in the treatment of hypertension and congestive heart failure, diabetic nephropathy, and improvement of prognosis for coronary artery diseases (including acute myocardial infarction)."
28981-97-7,Alprazolam,1877X1620,DB00404,"For the management of anxiety disorder or the short-term relief of symptoms of anxiety and for the treatment of panic disorder, with or without agoraphobia."
447-41-6,Nylidrin,1877X1778,,"Nylidrin is mainly indicated in conditions like arteriosclerosis, cerebrovascular disease, peripheral vascular disease, Raynaud's disease, thrombo-angitis obliterans, and thrombophlebitis [L2285]. It may sometimes be used in the treatment of peripheral vascular disorders in addition premature labor (however, the drug is not approved for premature labor)[A32531]."
1420-55-9,Thiethylperazine,1878X1618,DB00372,For the treatment or relief of nausea and vomiting.
6452-71-7,Oxprenolol,1878X1654,,"Used in the treatment of hypertension, angina pectoris, arrhythmias, and anxiety."
54-47-7,Pyridoxal Phosphate,1879X1610,DB00114,For nutritional supplementation and for treating dietary shortage or imbalance.
99755-59-6,Rotigotine,1879X1761,,For use/treatment in neurologic disorders and parkinson's disease as well as moderate-to-severe primary Restless Legs Syndrome.
209810-58-2,Darbepoetin alfa,1880X1607,DB00012,For the treatment of anemia (from renal transplants or certain HIV treatment)
24815-24-5,Rescinnamine,1880X1643,DB01180,For the treatment of hypertension.
146939-27-7,Ziprasidone,1881X1614,DB00246,For the treatment of schizophrenia and related psychotic disorders.
361-37-5,Methysergide,2250X1614,DB00247,For the treatment of vascular headache
93384-43-1,Botulinum Toxin Type A,2251X1609,DB00083,"For the treatment of cervical dystonia in adults to decrease the severity of abnormal head position and neck pain associated with cervical dystonia. Also for the treatment of severe primary axillary hyperhidrosis that is inadequately managed with topical agents and for the treatment of strabismus and blepharospasm associated with dystonia, including benign essential blepharospasm or VII nerve disorders in patients 12 years of age and above. Also used cosmetically to temporarily improve the appearance of moderate-to-severe frown lines between the eyebrows (glabellar lines) as well as for the treatment of excessive underarm sweating."
465-65-6,Naloxone,2251X1643,DB01183,"For the complete or partial reversal of narcotic depression, including respiratory depression, induced by opioids including natural and synthetic narcotics, propoxyphene, methadone and the narcotic-antagonist analgesics: nalbuphine, pentazocine and butorphanol. It is also indicated for the diagnosis of suspected acute opioid overdose. It may also be used as an adjunctive agent to increase blood pressure in the management of septic shock."
848-75-9,Lormetazepam,2251X1950,,For the treatment of short-term insomnia [L927]
57808-66-9,Domperidone,2252X1643,DB01184,"For management of dyspepsia, heartburn, epigastric pain, nausea, and vomiting."
846-49-1,Lorazepam,2253X1612,DB00186,"For the management of anxiety disorders, and for treatment of status epilepticus."
37025-55-1,Carbetocin,2253X1646,,Used to control postpartum hemorrhage and bleeding after giving birth.
66104-22-1,Pergolide,2254X1643,DB01186,Indicated as adjunctive treatment to levodopa/carbidopa in the management of the signs and symptoms of Parkinson's disease. It was withdrawn from the US and Canadian markets in 2007 due to an increased risk of cardiac valvulopathy.
33342-05-1,Gliquidone,2255X1645,,Used in the treatment of diabetes mellitus type 2.
2668-66-8,Medrysone,2256X1614,DB00253,"For the treatment of allergic conjunctivitis, vernal conjunctivitis, episcleritis, and epinephrine sensitivity."
68399-58-6,Pipecuronium,2256X1647,,Used as a muscle relaxant during anesthesia and surgical procedures.
1019-45-0,"5-methoxy-N,N-dimethyltryptamine",2256X1954,,
52128-35-5,Trimetrexate,2257X1642,DB01157,"For use, with concurrent leucovorin administration (leucovorin protection), as an alternative therapy for the treatment of moderate-to-severe <i>Pneumocystis carinii</i> pneumonia (PCP) in immunocompromised patients, including patients with the acquired immunodeficiency syndrome (AIDS). Also used to treat several types of cancer including colon cancer."
81872-10-8,Zofenopril,2257X1945,,
60142-96-3,Gabapentin,2258X1637,DB00996,For the management of postherpetic neuralgia in adults and as adjunctive therapy in the treatment of partial seizures with and without secondary generalization in patients over 12 years of age with epilepsy.
82964-04-3,Tolrestat,2258X1677,DB02383,For the pharmacological control of certain diabetic complications.
483-20-5,Indigotindisulfonic Acid,2258X1897,,This drug was initially used as a kidney function test. The main application of indigo carmine at this time is localizing and visualizing ureteral orifices during cystoscopy and ureteral catheterization procedures [L2215].
33419-42-0,Etoposide,2259X1630,DB00773,"For use in combination with other chemotherapeutic agents in the treatment of refractory testicular tumors and as first line treatment in patients with small cell lung cancer. Also used to treat other malignancies such as lymphoma, non-lymphocytic leukemia, and glioblastoma multiforme."
56-47-3,Desoxycorticosterone acetate,2259X1789,,
1421373-65-0,Osimertinib,2259X1865,,"Osimertinib is indicated for the treatment of patients with metastatic epidermal growth factor receptor (EGFR) T790M mutation-positive non-small cell lung cancer (NSCLC), as detected by an FDA- approved test, who have progressed on or after EGFR-TKI therapy."
135-09-1,Hydroflumethiazide,2260X1630,DB00774,"Used as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy. Also used in the management of hypertension either as the sole therapeutic agent or to enhance the effect of other antihypertensive drugs in the more severe forms of hypertension."
367514-87-2,Lurasidone,2261X1850,,Treatment of schizophrenia.
52-01-7,Spironolactone,2262X1617,DB00421,"Used primarily to treat low-renin hypertension, hypokalemia, and Conn's syndrome."
638-94-8,Desonide,2263X1643,,For the relief of the inflammatory and pruritic manifestations of corticosteroid responsive dermatose.
97322-87-7,Troglitazone,2264X1610,DB00197,"For the treatment of Type II diabetes mellitus. It is used alone or in combination with a sulfonylurea, metformin, or insulin as an adjunct to diet and exercise."
50-50-0,Estradiol benzoate,2264X1950,DB13953,Estradiol benzoate is not currently available in any FDA or Health Canada approved products.
82419-36-1,Ofloxacin,2265X1640,DB01165,"For the treatment of infections (respiratory tract, kidney, skin, soft tissue, UTI), urethral and cervical gonorrhoea."
145-63-1,Suramin,2265X1745,,"For treatment of human sleeping sickness, onchocerciasis and other diseases caused by trypanosomes and worms."
136-77-6,Hexylresorcinol,2265X1891,,"Hexylresorcinol is predominantly employed as the active ingredient in lotions, sprays, or lozenges indicated as a (a) topical antiseptic to help prevent skin infection in minor cuts, scrapes, or burns, or (b) as an antiseptic and local anesthetic for the relief of a sore throat and its associated pain [L2734, L2735].    In addition, hexylresorcinol is used as an active ingredient in various commercial cosmetic skincare products as an anti-aging cream [L2736] while other studies have looked into whether or not the compound could be used effectively as an anti-inflammatory agent or even as an anti-cancer therapy [L2736]."
486-16-8,Carbinoxamine,1866X1631,DB00748,"For symptomatic relief of seasonal and perennial allergic rhinitis and vasomotor rhinitis, as well as allergic conjunctivitis caused by foods and inhaled allergens. Also for the relief of allergic reactions to blood or plasma, and the symptomatic management of mild, uncomplicated allergic skin manifestations of urticaria and angioedema."
57773-63-4,Triptorelin,1866X1792,,Triptorelin is indicated for the palliative treatment of advanced prostate cancer.
80474-14-2,Fluticasone propionate,1867X1626,DB00588,"Fluticasone propionate, a medium-potency synthetic corticosteroid, is used topically to relieve inflammatory and pruritic symptoms of dermatoses and psoriasis, intranasally to manage symptoms of allergic and non-allergic rhinitis, and orally for the maintenance treatment of asthma as prophylactic therapy and for patients requiring oral corticosteroid therapy for asthma."
869185-19-3,Umeclidinium,1867X1859,,"Indicated for the long-term, once-daily, maintenance treatment of airflow obstruction in patients with chronic obstructive pulmonary disease (COPD)."
366789-02-8,Rivaroxaban,1868X1780,DB06228,"Rivaroxaban is indicated for the prevention of venous thromboembolic events (VTE) in patients who have undergone total hips replacements and total knee replacement surgery; prevention of stroke and systemic embolism in patients with nonvalvular atrial fibrillation; treatment of deep vein thrombosis (DVT) and pulmonary embolism (PE); to reduce risk of recurrent DVT and/or PE. Due to a lack of safety studies, it is not recommended for use in those under 18 years old. Its use is also not recommended in those with severe renal impairment (<30mL/min)."
657-24-9,Metformin,1869X1618,DB00331,For use as an adjunct to diet and exercise in adult patients (18 years and older) with NIDDM. May also be used for the management of metabolic and reproductive abnormalities associated with polycystic ovary syndrome (PCOS). Jentadueto is for the treatment of patients when both linagliptin and metformin is appropriate.
